duration,protocol_type,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,service
0,tcp,S0,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,remote_job
0,tcp,S0,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,private
0,tcp,SF,334,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,name
0,tcp,S0,0,0,0,0,0,netbios_ns
0,icmp,SF,18,0,0,0,0,eco_i
0,tcp,S0,0,0,0,0,0,mtp
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,mtp
0,tcp,S0,0,0,0,0,0,private
0,icmp,SF,8,0,0,0,0,eco_i
0,tcp,S0,0,0,0,0,0,finger
0,tcp,REJ,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,supdup
0,tcp,S0,0,0,0,0,0,uucp_path
0,tcp,S0,0,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,Z39_50
0,tcp,S0,0,0,0,0,0,csnet_ns
0,udp,SF,28,0,0,3,0,private
0,tcp,SF,334,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,ftp_data
0,tcp,REJ,0,0,0,0,0,private
0,udp,SF,28,0,0,3,0,private
0,icmp,SF,8,0,0,0,0,eco_i
0,tcp,S0,0,0,0,0,0,uucp
0,tcp,S0,0,0,0,0,0,finger
0,tcp,REJ,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,private
0,tcp,RSTR,0,0,0,0,0,netbios_dgm
0,tcp,S0,0,0,0,0,0,http
0,tcp,REJ,0,0,0,0,0,netbios_dgm
0,tcp,S0,0,0,0,0,0,supdup
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,auth
0,tcp,REJ,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,uucp_path
0,tcp,S0,0,0,0,0,0,domain
0,icmp,SF,8,0,0,0,0,eco_i
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,ftp
0,tcp,REJ,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,csnet_ns
0,tcp,S0,0,0,0,0,0,private
0,udp,SF,28,0,0,3,0,private
25950,tcp,RSTR,1,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,Z39_50
0,tcp,REJ,0,0,0,0,0,uucp_path
0,tcp,REJ,0,0,0,0,0,bgp
0,tcp,S0,0,0,0,0,0,csnet_ns
0,tcp,S0,0,0,0,0,0,bgp
0,tcp,S0,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,ldap
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,supdup
0,icmp,SF,1032,0,0,0,0,ecr_i
0,tcp,S0,0,0,0,0,0,private
0,tcp,REJ,0,0,0,0,0,bgp
0,tcp,REJ,0,0,0,0,0,netbios_dgm
0,tcp,SH,0,0,0,0,0,gopher
0,tcp,SF,334,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,telnet
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,vmnet
0,tcp,S0,0,0,0,0,0,systat
0,tcp,S0,0,0,0,0,0,http_443
0,tcp,S0,0,0,0,0,0,efs
0,icmp,SF,8,0,0,0,0,eco_i
0,tcp,S0,0,0,0,0,0,whois
0,tcp,S0,0,0,0,0,0,remote_job
9015,tcp,RSTR,1,0,0,0,0,other
0,tcp,S0,0,0,0,0,0,gopher
0,icmp,SF,1032,0,0,0,0,ecr_i
0,tcp,REJ,0,0,0,0,0,imap4
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,whois
0,tcp,REJ,0,0,0,0,0,other
0,udp,SF,1,0,0,0,0,other
0,tcp,S0,0,0,0,0,0,iso_tsap
0,udp,SF,28,0,0,3,0,private
0,tcp,S0,0,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,private
15159,tcp,SF,350,1185,0,0,0,ftp
0,tcp,S0,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,echo
0,tcp,REJ,0,0,0,0,0,private
0,tcp,S0,0,0,0,0,0,klogin
0,tcp,S0,0,0,0,0,0,uucp_path
0,tcp,S0,0,0,0,0,0,netbios_ns
0,tcp,REJ,0,0,0,0,0,private
0,icmp,SF,1480,0,0,1,0,ecr_i
0,tcp,S0,0,0,0,0,0,iso_tsap
0,tcp,S0,0,0,0,0,0,link
0,tcp,S0,0,0,0,0,0,sunrpc
0,tcp,S0,0,0,0,0,0,login
4,tcp,SF,832,0,0,0,0,ftp_data
0,tcp,S0,0,0,0,0,0,finger
0,icmp,SF,8,0,0,0,0,eco_i
